FPTS_TG,Player,pid,comp
18.8,Austin Ekeler (LAC),16483,18.234183892496397
18.5,Christian McCaffrey (SF),16393,14.891620292207783
17.8,Josh Jacobs (LV),18269,11.152172392070502
17.9,Derrick Henry (TEN),15514,17.786059090909063
15.8,Nick Chubb (CLE),17246,15.132805344474368
16.0,Saquon Barkley (NYG),17240,13.004477315505452
14.3,Tony Pollard (DAL),18705,11.499190652912125
12.9,Jamaal Williams (NO),16424,8.368939735796127
12.9,Aaron Jones (GB),16673,13.118629466532873
12.8,Dalvin Cook (FA),16374,13.478090129315124
12.6,Rhamondre Stevenson (NE),22726,9.941680968599977
14.0,Joe Mixon (CIN),16420,13.519095269457553
12.2,Miles Sanders (CAR),18283,10.56973303773507
11.9,Najee Harris (PIT),19302,11.551400306018666
11.9,Leonard Fournette (FA),16378,12.043300296282721
12.2,Alvin Kamara (NO),16421,13.290782659520433
11.8,Ezekiel Elliott (FA),15498,12.113650058644824
13.6,James Conner (ARI),16447,13.49186408873008
9.9,Jerick McKinnon (KC),12209,4.85365608531717
11.9,D'Andre Swift (PHI),19210,12.94465676273294
10.0,David Montgomery (DET),18239,10.30901764581183
9.4,Devin Singletary (HOU),18280,9.474815542778867
9.0,AJ Dillon (GB),19358,9.646202662914131
9.6,Raheem Mostert (MIA),14338,7.991891008985812
9.2,Jeff Wilson Jr. (MIA),18026,6.86157583950168
11.1,Cordarrelle Patterson (ATL),11613,10.090477171467667
9.5,Antonio Gibson (WAS),19624,10.317515724409144
9.0,Cam Akers (LAR),19268,8.92222751924718
11.0,Jonathan Taylor (IND),19217,13.54002402597401
8.0,D'Onta Foreman (CHI),16407,5.818795525902846
7.7,Samaje Perine (DEN),16423,6.311286703652764
8.7,Khalil Herbert (CHI),22763,6.935461787589831
6.4,Kareem Hunt (FA),16425,8.40705964950285
6.6,Michael Carter (NYJ),22728,6.671365416106903
8.0,Kenyan Drake (IND),15637,6.848691722728299
9.0,Clyde Edwards-Helaire (KC),19325,8.887634133225644
7.6,James Robinson (NYG),19631,8.748028622146983
7.5,Damien Harris (BUF),18230,8.130848027223843
4.8,Alexander Mattison (MIN),18621,5.640461121338792
5.8,Chuba Hubbard (CAR),19792,5.464019743701978
9.7,J.K. Dobbins (BAL),19245,9.476072744683862
5.9,Eno Benjamin (NO),19361,4.987718847969624
4.5,Kenneth Gainwell (PHI),23310,5.206047433190787
7.5,Melvin Gordon III (BAL),13903,7.737494413847363
5.6,Dontrell Hilliard (FA),18037,5.904606899787368
4.2,Nyheim Hines (BUF),17297,5.693586270375163
5.1,Chase Edmonds (TB),17496,7.377884257139064
6.5,Darrell Henderson Jr. (FA),18588,7.067677071580875
6.6,Gus Edwards (BAL),17687,5.6020994024812865
10.0,Rashaad Penny (PHI),17308,9.650721205217346
4.7,J.D. McKissic (FA),16230,4.9323399557536876
4.2,Mark Ingram II (FA),9872,4.853144471138634
8.4,Elijah Mitchell (SF),22813,11.749006684362543
4.3,Marlon Mack (ARI),16444,4.7569709117240535
8.5,Javonte Williams (DEN),22739,9.621069251719403
2.0,Sony Michel (FA),17309,4.100208872284519
3.8,Darrel Williams (FA),17514,4.288694561836407
3.1,Ronald Jones II (DAL),17243,4.232955183185808
0.6,Mike Davis (FA),13943,5.085794699175546
